treat,age,education,black,hispanic,married,nodegree,lnre75,lnre78,propensity_score,propensity_logit,re78
1.0,0.10634365373635145,-0.3321856750684696,1.0,0.0,0.0,1.0,-1.2163329622119845,-1.5711839225370596,0.14285714285714285,-1.791759469228055,0
1.0,-0.5195913607995415,1.129431295232795,0.0,0.0,0.0,0.0,0.253118238959267,0.845844999151599,0.3047619047619048,-0.8247235383486645,12558
1.0,1.3582136828081375,0.3986228100821627,1.0,0.0,0.0,1.0,1.0520016389583224,0.6684168422783132,0.3047619047619048,-0.8247235383486645,6281
1.0,-1.1455263753354346,-0.3321856750684696,1.0,0.0,0.0,1.0,0.06061367951690671,0.8034249733546054,0.6867469879518072,0.784954729813068,10641
1.0,-0.832558868067488,0.3986228100821627,1.0,0.0,0.0,1.0,0.6962891829927228,0.8334572492825859,0.3047619047619048,-0.8247235383486645,11965
1.0,0.41931116100429794,0.3986228100821627,1.0,0.0,1.0,1.0,0.7230364357412292,0.39812264517427265,0.3047619047619048,-0.8247235383486645,2186
1.0,0.7322786682722444,-1.7938026453697342,1.0,0.0,0.0,1.0,-1.2163329622119845,0.3652949502380004,0.3047619047619048,-0.8247235383486645,1923
1.0,0.10634365373635145,-1.7938026453697342,0.0,0.0,0.0,1.0,1.3243360129147121,0.6740623132122633,0.3047619047619048,-0.8247235383486645,6421
1.0,-0.5195913607995415,0.3986228100821627,1.0,0.0,0.0,1.0,0.7317388751290896,0.558055841876168,0.3047619047619048,-0.8247235383486645,4082
1.0,0.10634365373635145,0.3986228100821627,1.0,0.0,1.0,1.0,-1.2163329622119845,-1.5711839225370596,0.75,1.0986122886681098,0
1.0,0.5757949146382711,0.3986228100821627,1.0,0.0,1.0,1.0,1.0207351748471014,0.7075497724660795,0.47058823529411764,-0.11778303565638351,7318
1.0,-1.1455263753354346,-1.062994160219102,1.0,0.0,0.0,1.0,0.6596388121022135,0.6387524810170829,0.3047619047619048,-0.8247235383486645,5594
1.0,-0.6760751144335148,1.129431295232795,1.0,0.0,0.0,0.0,1.0923232444829116,-1.5711839225370596,0.6867469879518072,0.784954729813068,0
1.0,-1.1455263753354346,-0.3321856750684696,1.0,0.0,0.0,1.0,0.49109967913097224,0.4997629603796546,0.6867469879518072,0.784954729813068,3251
1.0,2.7665674655138965,2.59104826553406,1.0,0.0,0.0,0.0,-1.2163329622119845,0.9714098733695439,0.7,0.8472978603872034,20505
1.0,0.5757949146382711,3.321856750684692,1.0,0.0,0.0,0.0,-1.2163329622119845,0.7770065543122071,0.47058823529411764,-0.11778303565638351,9598
1.0,0.5757949146382711,-1.7938026453697342,1.0,0.0,0.0,1.0,0.5726983454190822,0.7231946428910551,0.3047619047619048,-0.8247235383486645,7779
